Symbol,ISIN,Date,Value,Event
ADANIPORTS,INE742F01042,12-09-2008,0.3,Dividend
ADANIPORTS,INE742F01042,18-02-2009,0.4,Dividend
ADANIPORTS,INE742F01042,17-08-2009,0.2,Dividend
ADANIPORTS,INE742F01042,03-02-2010,0.5,Dividend
ADANIPORTS,INE742F01042,09-08-2010,0.3,Dividend
ADANIPORTS,INE742F01042,14-02-2011,0.5,Dividend
ADANIPORTS,INE742F01042,05-05-2011,0.4,Dividend
ADANIPORTS,INE742F01042,13-02-2012,0.3,Dividend
ADANIPORTS,INE742F01042,30-07-2012,0.7,Dividend
ADANIPORTS,INE742F01042,30-07-2013,1,Dividend
ADANIPORTS,INE742F01042,31-07-2014,1,Dividend
ADANIPORTS,INE742F01042,22-05-2015,1.1,Dividend
ADANIPORTS,INE742F01042,22-03-2016,1.1,Dividend
ADANIPORTS,INE742F01042,31-07-2017,1.3,Dividend
ADANIPORTS,INE742F01042,26-07-2018,2,Dividend
ADANIPORTS,INE742F01042,26-07-2019,0.2,Dividend
ADANIPORTS,INE742F01042,16-03-2020,3.2,Dividend
ADANIPORTS,INE742F01042,24-06-2021,5,Dividend
ADANIPORTS,INE742F01042,14-07-2022,5,Dividend
ADANIPORTS,INE742F01042,28-07-2023,5,Dividend
ADANIPORTS,INE742F01042,14-06-2024,6,Dividend
ADANIPORTS,INE742F01042,13-06-2025,7,Dividend
ADANIPORTS,INE742F01042,23-09-2010,5,Split
APOLLOHOSP,INE437A01024,02-09-2002,1.25,Dividend
APOLLOHOSP,INE437A01024,11-08-2003,1.5,Dividend
APOLLOHOSP,INE437A01024,30-08-2004,1.75,Dividend
APOLLOHOSP,INE437A01024,29-07-2005,2,Dividend
APOLLOHOSP,INE437A01024,27-07-2006,2.25,Dividend
APOLLOHOSP,INE437A01024,22-03-2007,1.5,Dividend
APOLLOHOSP,INE437A01024,09-08-2007,1,Dividend
APOLLOHOSP,INE437A01024,11-08-2008,3,Dividend
APOLLOHOSP,INE437A01024,20-08-2009,3.25,Dividend
APOLLOHOSP,INE437A01024,15-07-2010,3.5,Dividend
APOLLOHOSP,INE437A01024,07-07-2011,3.75,Dividend
APOLLOHOSP,INE437A01024,26-07-2012,4,Dividend
APOLLOHOSP,INE437A01024,25-07-2013,5.5,Dividend
APOLLOHOSP,INE437A01024,13-08-2014,5.75,Dividend
APOLLOHOSP,INE437A01024,30-07-2015,5.75,Dividend
APOLLOHOSP,INE437A01024,22-03-2016,6,Dividend
APOLLOHOSP,INE437A01024,07-09-2017,6,Dividend
APOLLOHOSP,INE437A01024,12-09-2018,5,Dividend
APOLLOHOSP,INE437A01024,12-09-2019,6,Dividend
APOLLOHOSP,INE437A01024,25-02-2020,3.25,Dividend
APOLLOHOSP,INE437A01024,17-09-2020,2.75,Dividend
APOLLOHOSP,INE437A01024,18-08-2021,3,Dividend
APOLLOHOSP,INE437A01024,18-08-2022,11.75,Dividend
APOLLOHOSP,INE437A01024,24-02-2023,6,Dividend
APOLLOHOSP,INE437A01024,18-08-2023,9,Dividend
APOLLOHOSP,INE437A01024,20-02-2024,6,Dividend
APOLLOHOSP,INE437A01024,16-08-2024,10,Dividend
APOLLOHOSP,INE437A01024,14-02-2025,9,Dividend
APOLLOHOSP,INE437A01024,02-09-2010,2,Split
ASIANPAINT,INE021A01026,11-07-2002,0.366667,Dividend
ASIANPAINT,INE021A01026,21-10-2002,0.3,Dividend
ASIANPAINT,INE021A01026,09-07-2003,0.433333,Dividend
ASIANPAINT,INE021A01026,07-11-2003,0.35,Dividend
ASIANPAINT,INE021A01026,16-06-2004,0.5,Dividend
ASIANPAINT,INE021A01026,01-11-2004,0.4,Dividend
ASIANPAINT,INE021A01026,22-06-2005,0.55,Dividend
ASIANPAINT,INE021A01026,31-10-2005,0.45,Dividend
ASIANPAINT,INE021A01026,15-06-2006,0.8,Dividend
ASIANPAINT,INE021A01026,03-11-2006,0.55,Dividend
ASIANPAINT,INE021A01026,20-03-2007,0.65,Dividend
ASIANPAINT,INE021A01026,13-06-2007,0.1,Dividend
ASIANPAINT,INE021A01026,25-10-2007,0.65,Dividend
ASIANPAINT,INE021A01026,12-06-2008,1.05,Dividend
ASIANPAINT,INE021A01026,29-10-2008,0.65,Dividend
ASIANPAINT,INE021A01026,17-06-2009,1.1,Dividend
ASIANPAINT,INE021A01026,26-10-2009,0.85,Dividend
ASIANPAINT,INE021A01026,30-06-2010,1.85,Dividend
ASIANPAINT,INE021A01026,29-10-2010,0.85,Dividend
ASIANPAINT,INE021A01026,09-06-2011,2.35,Dividend
ASIANPAINT,INE021A01026,25-10-2011,0.95,Dividend
ASIANPAINT,INE021A01026,07-06-2012,3.05,Dividend
ASIANPAINT,INE021A01026,29-10-2012,0.95,Dividend
ASIANPAINT,INE021A01026,06-06-2013,3.65,Dividend
ASIANPAINT,INE021A01026,24-10-2013,1.1,Dividend
ASIANPAINT,INE021A01026,16-06-2014,4.2,Dividend
ASIANPAINT,INE021A01026,22-09-2014,1.8,Dividend
ASIANPAINT,INE021A01026,24-06-2015,4.3,Dividend
ASIANPAINT,INE021A01026,28-10-2015,2.2,Dividend
ASIANPAINT,INE021A01026,16-06-2016,5.3,Dividend
ASIANPAINT,INE021A01026,01-11-2016,2.65,Dividend
ASIANPAINT,INE021A01026,15-06-2017,5.65,Dividend
ASIANPAINT,INE021A01026,31-10-2017,2.65,Dividend
ASIANPAINT,INE021A01026,14-06-2018,6.05,Dividend
ASIANPAINT,INE021A01026,29-10-2018,2.85,Dividend
ASIANPAINT,INE021A01026,13-06-2019,7.65,Dividend
ASIANPAINT,INE021A01026,30-10-2019,3.35,Dividend
ASIANPAINT,INE021A01026,03-03-2020,7.15,Dividend
ASIANPAINT,INE021A01026,23-07-2020,1.5,Dividend
ASIANPAINT,INE021A01026,28-10-2020,3.35,Dividend
ASIANPAINT,INE021A01026,10-06-2021,14.5,Dividend
ASIANPAINT,INE021A01026,28-10-2021,3.65,Dividend
ASIANPAINT,INE021A01026,09-06-2022,15.5,Dividend
ASIANPAINT,INE021A01026,31-10-2022,4.4,Dividend
ASIANPAINT,INE021A01026,09-06-2023,21.25,Dividend
ASIANPAINT,INE021A01026,03-11-2023,5.15,Dividend
ASIANPAINT,INE021A01026,11-06-2024,28.15,Dividend
ASIANPAINT,INE021A01026,19-11-2024,4.25,Dividend
ASIANPAINT,INE021A01026,10-06-2025,20.55,Dividend
ASIANPAINT,INE021A01026,22-08-2003,1.5,Split
ASIANPAINT,INE021A01026,30-07-2013,10,Split
AXISBANK,INE238A01034,16-06-1999,0.2,Dividend
AXISBANK,INE238A01034,28-04-2000,0.24,Dividend
AXISBANK,INE238A01034,04-06-2001,0.3,Dividend
AXISBANK,INE238A01034,26-06-2002,0.4,Dividend
AXISBANK,INE238A01034,09-06-2003,0.44,Dividend
AXISBANK,INE238A01034,28-05-2004,0.5,Dividend
AXISBANK,INE238A01034,20-05-2005,0.56,Dividend
AXISBANK,INE238A01034,16-05-2006,0.7,Dividend
AXISBANK,INE238A01034,17-05-2007,0.9,Dividend
AXISBANK,INE238A01034,22-05-2008,1.2,Dividend
AXISBANK,INE238A01034,14-05-2009,2,Dividend
AXISBANK,INE238A01034,20-05-2010,2.4,Dividend
AXISBANK,INE238A01034,08-06-2011,2.8,Dividend
AXISBANK,INE238A01034,14-06-2012,3.2,Dividend
AXISBANK,INE238A01034,05-07-2013,3.6,Dividend
AXISBANK,INE238A01034,12-06-2014,4,Dividend
AXISBANK,INE238A01034,09-07-2015,4.6,Dividend
AXISBANK,INE238A01034,07-07-2016,5,Dividend
AXISBANK,INE238A01034,06-07-2017,5,Dividend
AXISBANK,INE238A01034,04-07-2019,1,Dividend
AXISBANK,INE238A01034,07-07-2022,1,Dividend
AXISBANK,INE238A01034,07-07-2023,1,Dividend
AXISBANK,INE238A01034,12-07-2024,1,Dividend
AXISBANK,INE238A01034,04-07-2025,1,Dividend
AXISBANK,INE238A01034,28-07-2014,5,Split
BAJAJ-AUTO,INE917I01010,27-06-2008,10,Dividend
BAJAJ-AUTO,INE917I01010,02-07-2009,11,Dividend
BAJAJ-AUTO,INE917I01010,08-07-2010,20,Dividend
BAJAJ-AUTO,INE917I01010,29-06-2011,40,Dividend
BAJAJ-AUTO,INE917I01010,05-07-2012,45,Dividend
BAJAJ-AUTO,INE917I01010,04-07-2013,45,Dividend
BAJAJ-AUTO,INE917I01010,03-07-2014,50,Dividend
BAJAJ-AUTO,INE917I01010,09-07-2015,50,Dividend
BAJAJ-AUTO,INE917I01010,16-03-2016,50,Dividend
BAJAJ-AUTO,INE917I01010,14-07-2016,5,Dividend
BAJAJ-AUTO,INE917I01010,06-07-2017,55,Dividend
BAJAJ-AUTO,INE917I01010,05-07-2018,60,Dividend
BAJAJ-AUTO,INE917I01010,11-07-2019,60,Dividend
BAJAJ-AUTO,INE917I01010,03-03-2020,120,Dividend
BAJAJ-AUTO,INE917I01010,08-07-2021,140,Dividend
BAJAJ-AUTO,INE917I01010,30-06-2022,140,Dividend
BAJAJ-AUTO,INE917I01010,30-06-2023,140,Dividend
BAJAJ-AUTO,INE917I01010,14-06-2024,80,Dividend
BAJAJ-AUTO,INE917I01010,20-06-2025,210,Dividend
BAJAJ-AUTO,INE917I01010,08-09-2010,2,Split
BAJFINANCE,INE377Y01014,10-07-2003,0.043721,Dividend
BAJFINANCE,INE377Y01014,15-07-2004,0.058295,Dividend
BAJFINANCE,INE377Y01014,29-06-2005,0.072869,Dividend
BAJFINANCE,INE377Y01014,29-06-2006,0.038863,Dividend
BAJFINANCE,INE377Y01014,28-06-2007,0.029147,Dividend
BAJFINANCE,INE377Y01014,27-06-2008,0.009716,Dividend
BAJFINANCE,INE377Y01014,29-06-2009,0.019432,Dividend
BAJFINANCE,INE377Y01014,08-07-2010,0.058295,Dividend
BAJFINANCE,INE377Y01014,29-06-2011,0.097158,Dividend
BAJFINANCE,INE377Y01014,05-07-2012,0.11659,Dividend
BAJFINANCE,INE377Y01014,04-07-2013,0.15,Dividend
BAJFINANCE,INE377Y01014,03-07-2014,0.16,Dividend
BAJFINANCE,INE377Y01014,09-07-2015,0.18,Dividend
BAJFINANCE,INE377Y01014,16-03-2016,0.18,Dividend
BAJFINANCE,INE377Y01014,14-07-2016,0.07,Dividend
BAJFINANCE,INE377Y01014,06-07-2017,0.36,Dividend
BAJFINANCE,INE377Y01014,05-07-2018,0.4,Dividend
BAJFINANCE,INE377Y01014,11-07-2019,0.6,Dividend
BAJFINANCE,INE377Y01014,03-03-2020,1,Dividend
BAJFINANCE,INE377Y01014,08-07-2021,1,Dividend
BAJFINANCE,INE377Y01014,30-06-2022,2,Dividend
BAJFINANCE,INE377Y01014,30-06-2023,3,Dividend
BAJFINANCE,INE377Y01014,21-06-2024,3.6,Dividend
BAJFINANCE,INE377Y01014,30-05-2025,4.4,Dividend
BAJFINANCE,INE377Y01014,08-09-2016,5,Split
BAJFINANCE,INE377Y01014,16-06-2025,2,Split
BAJAJFINSV,INE917I01010,27-06-2008,0.098246,Dividend
BAJAJFINSV,INE917I01010,02-07-2009,0.098246,Dividend
BAJAJFINSV,INE917I01010,08-07-2010,0.098246,Dividend
BAJAJFINSV,INE917I01010,29-06-2011,0.122808,Dividend
BAJAJFINSV,INE917I01010,05-07-2012,0.147369,Dividend
BAJAJFINSV,INE917I01010,04-07-2013,0.15,Dividend
BAJAJFINSV,INE917I01010,03-07-2014,0.175,Dividend
BAJAJFINSV,INE917I01010,09-07-2015,0.175,Dividend
BAJAJFINSV,INE917I01010,16-03-2016,0.175,Dividend
BAJAJFINSV,INE917I01010,06-07-2017,0.175,Dividend
BAJAJFINSV,INE917I01010,05-07-2018,0.175,Dividend
BAJAJFINSV,INE917I01010,11-07-2019,0.25,Dividend
BAJAJFINSV,INE917I01010,03-03-2020,0.5,Dividend
BAJAJFINSV,INE917I01010,08-07-2021,0.3,Dividend
BAJAJFINSV,INE917I01010,30-06-2022,0.4,Dividend
BAJAJFINSV,INE917I01010,30-06-2023,0.8,Dividend
BAJAJFINSV,INE917I01010,21-06-2024,1,Dividend
BAJAJFINSV,INE917I01010,27-06-2025,1,Dividend
BAJAJFINSV,INE917I01010,13-09-2022,5,Split
BPCL,INE029A01011,24-06-1996,0.1375,Dividend
BPCL,INE029A01011,23-06-1997,0.1375,Dividend
BPCL,INE029A01011,10-08-1998,0.208333,Dividend
BPCL,INE029A01011,11-08-1999,0.520833,Dividend
BPCL,INE029A01011,25-07-2000,0.520833,Dividend
BPCL,INE029A01011,18-06-2001,0.333333,Dividend
BPCL,INE029A01011,02-08-2001,0.291667,Dividend
BPCL,INE029A01011,08-08-2002,0.916667,Dividend
BPCL,INE029A01011,31-01-2003,0.166667,Dividend
BPCL,INE029A01011,16-07-2003,1.083333,Dividend
BPCL,INE029A01011,01-01-2004,0.5,Dividend
BPCL,INE029A01011,28-07-2004,0.958333,Dividend
BPCL,INE029A01011,24-12-2004,0.416667,Dividend
BPCL,INE029A01011,07-06-2005,0.625,Dividend
BPCL,INE029A01011,15-11-2006,0.208333,Dividend
BPCL,INE029A01011,15-01-2007,0.5,Dividend
BPCL,INE029A01011,04-09-2007,0.833333,Dividend
BPCL,INE029A01011,10-09-2008,0.333333,Dividend
BPCL,INE029A01011,26-08-2009,0.583333,Dividend
BPCL,INE029A01011,08-09-2010,1.166667,Dividend
BPCL,INE029A01011,05-09-2011,1.166667,Dividend
BPCL,INE029A01011,13-07-2012,0.916667,Dividend
BPCL,INE029A01011,06-09-2013,1.833333,Dividend
BPCL,INE029A01011,05-09-2014,2.833333,Dividend
BPCL,INE029A01011,28-08-2015,3.75,Dividend
BPCL,INE029A01011,02-02-2016,2.083333,Dividend
BPCL,INE029A01011,03-03-2016,0.583333,Dividend
BPCL,INE029A01011,06-06-2016,2.5,Dividend
BPCL,INE029A01011,28-02-2017,6.5,Dividend
BPCL,INE029A01011,08-06-2017,0.333333,Dividend
BPCL,INE029A01011,22-02-2018,7,Dividend
BPCL,INE029A01011,31-08-2018,3.5,Dividend
BPCL,INE029A01011,21-02-2019,5.5,Dividend
BPCL,INE029A01011,21-08-2019,4,Dividend
BPCL,INE029A01011,23-03-2020,8.25,Dividend
BPCL,INE029A01011,17-02-2021,8,Dividend
BPCL,INE029A01011,25-03-2021,2.5,Dividend
BPCL,INE029A01011,16-09-2021,11.5,Dividend
BPCL,INE029A01011,11-11-2021,2.5,Dividend
BPCL,INE029A01011,10-02-2022,2.5,Dividend
BPCL,INE029A01011,19-08-2022,3,Dividend
BPCL,INE029A01011,11-08-2023,2,Dividend
BPCL,INE029A01011,12-12-2023,10.5,Dividend
BPCL,INE029A01011,09-08-2024,10.5,Dividend
BPCL,INE029A01011,29-01-2025,5,Dividend
BPCL,INE029A01011,31-07-2025,5,Dividend
BPCL,INE029A01011,20-12-2000,2,Split
BPCL,INE029A01011,13-07-2012,2,Split
BPCL,INE029A01011,13-07-2016,2,Split
BPCL,INE029A01011,13-07-2017,1.5,Split
BPCL,INE029A01011,21-06-2024,2,Split
BHARTIARTL,INE263A01024,24-07-2009,0.901257,Dividend
BHARTIARTL,INE263A01024,18-08-2010,0.901257,Dividend
BHARTIARTL,INE263A01024,17-08-2011,0.901257,Dividend
BHARTIARTL,INE263A01024,16-08-2012,0.901257,Dividend
BHARTIARTL,INE263A01024,23-05-2013,0.901257,Dividend
BHARTIARTL,INE263A01024,21-08-2014,3.091312,Dividend
BHARTIARTL,INE263A01024,13-08-2015,2.000791,Dividend
BHARTIARTL,INE263A01024,11-08-2016,1.22571,Dividend
BHARTIARTL,INE263A01024,13-07-2017,0.901257,Dividend
BHARTIARTL,INE263A01024,30-01-2018,2.559571,Dividend
BHARTIARTL,INE263A01024,02-08-2018,2.253143,Dividend
BHARTIARTL,INE263A01024,05-11-2018,2.253143,Dividend
BHARTIARTL,INE263A01024,06-08-2020,1.963142,Dividend
BHARTIARTL,INE263A01024,01-08-2022,3,Dividend
BHARTIARTL,INE263A01024,11-08-2023,4,Dividend
BHARTIARTL,INE263A01024,07-08-2024,8,Dividend
BHARTIARTL,INE263A01024,18-07-2025,16,Dividend
BHARTIARTL,INE263A01024,24-07-2009,2,Split
BRITANNIA,INE216A01030,17-07-1998,0.333333,Dividend
BRITANNIA,INE216A01030,12-07-1999,0.366667,Dividend
BRITANNIA,INE216A01030,29-03-2000,0.45,Dividend
BRITANNIA,INE216A01030,02-07-2001,0.55,Dividend
BRITANNIA,INE216A01030,18-07-2002,0.75,Dividend
BRITANNIA,INE216A01030,23-07-2003,1,Dividend
BRITANNIA,INE216A01030,05-08-2004,1.1,Dividend
BRITANNIA,INE216A01030,08-07-2005,1.4,Dividend
BRITANNIA,INE216A01030,18-07-2006,1.5,Dividend
BRITANNIA,INE216A01030,30-08-2007,1.5,Dividend
BRITANNIA,INE216A01030,14-07-2008,1.8,Dividend
BRITANNIA,INE216A01030,09-06-2009,4,Dividend
BRITANNIA,INE216A01030,23-07-2010,2.5,Dividend
BRITANNIA,INE216A01030,19-07-2011,3.25,Dividend
BRITANNIA,INE216A01030,17-07-2012,4.25,Dividend
BRITANNIA,INE216A01030,23-07-2013,4.25,Dividend
BRITANNIA,INE216A01030,23-07-2014,6,Dividend
BRITANNIA,INE216A01030,27-07-2015,8,Dividend
BRITANNIA,INE216A01030,29-07-2016,10,Dividend
BRITANNIA,INE216A01030,28-07-2017,11,Dividend
BRITANNIA,INE216A01030,27-07-2018,12.5,Dividend
BRITANNIA,INE216A01030,01-08-2019,15,Dividend
BRITANNIA,INE216A01030,29-04-2020,35,Dividend
BRITANNIA,INE216A01030,26-08-2020,83,Dividend
BRITANNIA,INE216A01030,08-04-2021,62,Dividend
BRITANNIA,INE216A01030,25-05-2021,12.5,Dividend
BRITANNIA,INE216A01030,20-06-2022,56.5,Dividend
BRITANNIA,INE216A01030,13-04-2023,72,Dividend
BRITANNIA,INE216A01030,05-08-2024,73.5,Dividend
BRITANNIA,INE216A01030,04-08-2025,75,Dividend
BRITANNIA,INE216A01030,24-09-1999,1.5,Split
BRITANNIA,INE216A01030,08-09-2010,5,Split
BRITANNIA,INE216A01030,29-11-2018,2,Split
CIPLA,INE059A01026,28-07-1997,0.093333,Dividend
CIPLA,INE059A01026,05-08-1998,0.146667,Dividend
CIPLA,INE059A01026,26-07-1999,0.2,Dividend
CIPLA,INE059A01026,03-04-2000,0.44,Dividend
CIPLA,INE059A01026,06-08-2001,0.36,Dividend
CIPLA,INE059A01026,14-08-2002,0.56,Dividend
CIPLA,INE059A01026,22-08-2003,0.8,Dividend
CIPLA,INE059A01026,19-08-2004,1.2,Dividend
CIPLA,INE059A01026,19-08-2005,1.4,Dividend
CIPLA,INE059A01026,18-08-2006,2,Dividend
CIPLA,INE059A01026,08-08-2007,2,Dividend
CIPLA,INE059A01026,12-08-2008,2,Dividend
CIPLA,INE059A01026,10-08-2009,2,Dividend
CIPLA,INE059A01026,23-07-2010,2,Dividend
CIPLA,INE059A01026,09-08-2011,2,Dividend
CIPLA,INE059A01026,01-08-2012,2,Dividend
CIPLA,INE059A01026,06-08-2013,2,Dividend
CIPLA,INE059A01026,06-08-2014,2,Dividend
CIPLA,INE059A01026,11-08-2015,2,Dividend
CIPLA,INE059A01026,12-09-2016,2,Dividend
CIPLA,INE059A01026,26-07-2017,2,Dividend
CIPLA,INE059A01026,13-08-2018,3,Dividend
CIPLA,INE059A01026,31-07-2019,3,Dividend
CIPLA,INE059A01026,19-03-2020,3,Dividend
CIPLA,INE059A01026,09-08-2021,5,Dividend
CIPLA,INE059A01026,08-08-2022,5,Dividend
CIPLA,INE059A01026,21-07-2023,8.5,Dividend
CIPLA,INE059A01026,02-08-2024,13,Dividend
CIPLA,INE059A01026,27-06-2025,13,Dividend
CIPLA,INE059A01026,18-10-1999,3,Split
CIPLA,INE059A01026,11-05-2004,5,Split
CIPLA,INE059A01026,24-04-2006,2.5,Split
COALINDIA,INE522F01014,18-02-2011,3.5,Dividend
COALINDIA,INE522F01014,08-09-2011,0.4,Dividend
COALINDIA,INE522F01014,15-03-2012,9.5,Dividend
COALINDIA,INE522F01014,06-09-2012,0.5,Dividend
COALINDIA,INE522F01014,18-03-2013,9.7,Dividend
COALINDIA,INE522F01014,06-09-2013,4.3,Dividend
COALINDIA,INE522F01014,17-01-2014,29,Dividend
COALINDIA,INE522F01014,03-03-2015,20.7,Dividend
COALINDIA,INE522F01014,14-03-2016,27.4,Dividend
COALINDIA,INE522F01014,14-03-2017,18.75,Dividend
COALINDIA,INE522F01014,16-03-2018,16.5,Dividend
COALINDIA,INE522F01014,28-12-2018,7.25,Dividend
COALINDIA,INE522F01014,22-03-2019,5.85,Dividend
COALINDIA,INE522F01014,19-03-2020,12,Dividend
COALINDIA,INE522F01014,19-11-2020,7.5,Dividend
COALINDIA,INE522F01014,15-03-2021,5,Dividend
COALINDIA,INE522F01014,02-09-2021,3.5,Dividend
COALINDIA,INE522F01014,06-12-2021,9,Dividend
COALINDIA,INE522F01014,21-02-2022,5,Dividend
COALINDIA,INE522F01014,11-08-2022,3,Dividend
COALINDIA,INE522F01014,15-11-2022,15,Dividend
COALINDIA,INE522F01014,08-02-2023,5.25,Dividend
COALINDIA,INE522F01014,18-08-2023,4,Dividend
COALINDIA,INE522F01014,21-11-2023,15.25,Dividend
COALINDIA,INE522F01014,20-02-2024,5.25,Dividend
COALINDIA,INE522F01014,16-08-2024,5,Dividend
COALINDIA,INE522F01014,05-11-2024,15.75,Dividend
COALINDIA,INE522F01014,31-01-2025,5.6,Dividend
COALINDIA,INE522F01014,06-08-2025,5.5,Dividend
DIVISLAB,INE361B01024,11-08-2003,0.3,Dividend
DIVISLAB,INE361B01024,29-07-2004,0.4,Dividend
DIVISLAB,INE361B01024,11-08-2005,0.4,Dividend
DIVISLAB,INE361B01024,23-08-2006,0.5,Dividend
DIVISLAB,INE361B01024,23-03-2007,0.5,Dividend
DIVISLAB,INE361B01024,26-06-2008,1,Dividend
DIVISLAB,INE361B01024,15-06-2009,1.5,Dividend
DIVISLAB,INE361B01024,02-07-2010,3,Dividend
DIVISLAB,INE361B01024,16-06-2011,5,Dividend
DIVISLAB,INE361B01024,26-07-2012,6.5,Dividend
DIVISLAB,INE361B01024,25-07-2013,7.5,Dividend
DIVISLAB,INE361B01024,31-07-2014,10,Dividend
DIVISLAB,INE361B01024,06-08-2015,10,Dividend
DIVISLAB,INE361B01024,17-03-2016,10,Dividend
DIVISLAB,INE361B01024,15-09-2017,10,Dividend
DIVISLAB,INE361B01024,31-08-2018,10,Dividend
DIVISLAB,INE361B01024,14-08-2019,16,Dividend
DIVISLAB,INE361B01024,25-02-2020,16,Dividend
DIVISLAB,INE361B01024,17-08-2021,20,Dividend
DIVISLAB,INE361B01024,11-08-2022,30,Dividend
DIVISLAB,INE361B01024,11-08-2023,30,Dividend
DIVISLAB,INE361B01024,02-08-2024,30,Dividend
DIVISLAB,INE361B01024,25-07-2025,30,Dividend
DIVISLAB,INE361B01024,03-08-2007,5,Split
DIVISLAB,INE361B01024,30-07-2009,2,Split
DIVISLAB,INE361B01024,23-09-2015,2,Split
DRREDDY,INE089A01031,08-08-2003,0.5,Dividend
DRREDDY,INE089A01031,13-07-2004,0.5,Dividend
DRREDDY,INE089A01031,07-07-2005,0.5,Dividend
DRREDDY,INE089A01031,07-07-2006,0.5,Dividend
DRREDDY,INE089A01031,06-07-2007,0.75,Dividend
DRREDDY,INE089A01031,04-07-2008,0.75,Dividend
DRREDDY,INE089A01031,03-07-2009,1.25,Dividend
DRREDDY,INE089A01031,02-07-2010,2.25,Dividend
DRREDDY,INE089A01031,30-06-2011,2.25,Dividend
DRREDDY,INE089A01031,28-06-2012,2.75,Dividend
DRREDDY,INE089A01031,12-07-2013,3,Dividend
DRREDDY,INE089A01031,11-07-2014,3.6,Dividend
DRREDDY,INE089A01031,10-07-2015,4,Dividend
DRREDDY,INE089A01031,18-07-2016,4,Dividend
DRREDDY,INE089A01031,17-07-2017,4,Dividend
DRREDDY,INE089A01031,16-07-2018,4,Dividend
DRREDDY,INE089A01031,15-07-2019,4,Dividend
DRREDDY,INE089A01031,13-07-2020,5,Dividend
DRREDDY,INE089A01031,09-07-2021,5,Dividend
DRREDDY,INE089A01031,11-07-2022,6,Dividend
DRREDDY,INE089A01031,11-07-2023,8,Dividend
DRREDDY,INE089A01031,16-07-2024,8,Dividend
DRREDDY,INE089A01031,10-07-2025,8,Dividend
DRREDDY,INE089A01031,10-10-2001,2,Split
DRREDDY,INE089A01031,28-08-2006,2,Split
DRREDDY,INE089A01031,28-10-2024,5,Split
EICHERMOT,INE066A01021,21-07-1997,0.8,Dividend
EICHERMOT,INE066A01021,27-07-1998,0.1,Dividend
EICHERMOT,INE066A01021,19-07-1999,0.15,Dividend
EICHERMOT,INE066A01021,28-04-2000,0.2,Dividend
EICHERMOT,INE066A01021,25-06-2001,0.2,Dividend
EICHERMOT,INE066A01021,15-07-2002,0.25,Dividend
EICHERMOT,INE066A01021,17-07-2003,0.35,Dividend
EICHERMOT,INE066A01021,17-09-2004,0.35,Dividend
EICHERMOT,INE066A01021,05-08-2005,0.4,Dividend
EICHERMOT,INE066A01021,22-06-2006,0.4,Dividend
EICHERMOT,INE066A01021,16-03-2007,0.4,Dividend
EICHERMOT,INE066A01021,26-05-2008,0.5,Dividend
EICHERMOT,INE066A01021,20-05-2009,0.5,Dividend
EICHERMOT,INE066A01021,05-03-2010,0.7,Dividend
EICHERMOT,INE066A01021,08-03-2011,1.1,Dividend
EICHERMOT,INE066A01021,13-03-2012,1.6,Dividend
EICHERMOT,INE066A01021,13-03-2013,2,Dividend
EICHERMOT,INE066A01021,12-03-2014,3,Dividend
EICHERMOT,INE066A01021,11-03-2015,5,Dividend
EICHERMOT,INE066A01021,22-03-2016,10,Dividend
EICHERMOT,INE066A01021,31-07-2017,10,Dividend
EICHERMOT,INE066A01021,02-08-2018,11,Dividend
EICHERMOT,INE066A01021,24-07-2019,12.5,Dividend
EICHERMOT,INE066A01021,19-03-2020,12.5,Dividend
EICHERMOT,INE066A01021,09-08-2021,17,Dividend
EICHERMOT,INE066A01021,12-08-2022,21,Dividend
EICHERMOT,INE066A01021,14-08-2023,37,Dividend
EICHERMOT,INE066A01021,07-08-2024,51,Dividend
EICHERMOT,INE066A01021,01-08-2025,70,Dividend
EICHERMOT,INE066A01021,24-08-2020,10,Split
GRASIM,INE047A01021,16-07-2002,1.792871,Dividend
GRASIM,INE047A01021,14-07-2003,1.992079,Dividend
GRASIM,INE047A01021,05-07-2004,2.788911,Dividend
GRASIM,INE047A01021,29-06-2005,3.187327,Dividend
GRASIM,INE047A01021,09-08-2006,3.984158,Dividend
GRASIM,INE047A01021,15-03-2007,5.478217,Dividend
GRASIM,INE047A01021,22-07-2008,5.976237,Dividend
GRASIM,INE047A01021,24-07-2009,5.976237,Dividend
GRASIM,INE047A01021,10-08-2010,5.976237,Dividend
GRASIM,INE047A01021,06-09-2011,3.984158,Dividend
GRASIM,INE047A01021,27-08-2012,4.482178,Dividend
GRASIM,INE047A01021,31-07-2013,4.482178,Dividend
GRASIM,INE047A01021,20-08-2014,4.183366,Dividend
GRASIM,INE047A01021,03-09-2015,3.585742,Dividend
GRASIM,INE047A01021,07-09-2016,4.482178,Dividend
GRASIM,INE047A01021,08-09-2017,5.478217,Dividend
GRASIM,INE047A01021,31-08-2018,6.175445,Dividend
GRASIM,INE047A01021,08-08-2019,6.972277,Dividend
GRASIM,INE047A01021,26-08-2020,3.984158,Dividend
GRASIM,INE047A01021,12-08-2021,3.984158,Dividend
GRASIM,INE047A01021,11-08-2022,4.980198,Dividend
GRASIM,INE047A01021,11-08-2023,9.960395,Dividend
GRASIM,INE047A01021,06-08-2024,10,Dividend
GRASIM,INE047A01021,06-10-2016,5,Split
